ID,url,raw_url,height,width
323DBD835A315BA0B9A0A5C500C06AE609A12283,http://guideimg.alibaba.com/images/shop/105/02/11/5/purple-w-silver-mirror-dots-sexy-micro-g-string-teardrop-bikini-minimal-coverage_14485.jpg,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=VUKqjBcFx3stXV5O6glh4BdmJ2D-33AnA7ZbPW65twk&v=1&r=http%3a%2f%2fguideimg.alibaba.com%2fimages%2fshop%2f105%2f02%2f11%2f5%2fpurple-w-silver-mirror-dots-sexy-micro-g-string-teardrop-bikini-minimal-coverage_14485.jpg&p=DevEx,5008.1",550,364
8525545E8B9891BC1E21D398BCAB02F623F5E33A,http://www.polyvore.com/cgi/img-thing%3f.out=jpg&size=l&tid=152723942,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=rGYu0WNIPoYAOV-p8D6r__iRCCQqbAxlf9CP25s2JHw&v=1&r=http%3a%2f%2fwww.polyvore.com%2fcgi%2fimg-thing%3f.out%3djpg%26size%3dl%26tid%3d152723942&p=DevEx,5014.1",300,300
D4C8A3FED8145E79B84AD3DFE354D967B29FCC7D,http://www.brazilian-bikinis.org/images/berrydog2011/display/display_pink-zebra-micro-bikini.jpg,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=UZAR4KjVZ1w3Jizd4CMpc4wCD-1J8c1Qh4HfdjSMBQ4&v=1&r=http%3a%2f%2fwww.brazilian-bikinis.org%2fimages%2fberrydog2011%2fdisplay%2fdisplay_pink-zebra-micro-bikini.jpg&p=DevEx,5020.1",495,330
9E387A9E6D93E2F998B2BD443867398FF7F829A6,https://s-media-cache-ak0.pinimg.com/236x/60/11/32/601132ade994a515963c9d340a864333.jpg,"https://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=b0zMKLq9ecatumzHjodJeF6PeOqh2bW4AlbgUZ7ptyc&v=1&r=https%3a%2f%2fs-media-cache-ak0.pinimg.com%2f236x%2f60%2f11%2f32%2f601132ade994a515963c9d340a864333.jpg&p=DevEx,5026.1",354,236
94075585CE9B0B44741324AC64F4156D7A550B34,http://www.polyvore.com/cgi/img-thing%3f.out=jpg&size=l&tid=59832320,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=wnvIuqAZwD09lEkA-6DTElAUw67bRAsE5XjaASS2Vtg&v=1&r=http%3a%2f%2fwww.polyvore.com%2fcgi%2fimg-thing%3f.out%3djpg%26size%3dl%26tid%3d59832320&p=DevEx,5032.1",300,300
8F5B98F0F0A0EB66006C8F742CC5AFF3FEFC62D3,http://i.ebayimg.com/images/i/350247955061-0-1/s-l1000.jpg,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=6Ul4rPngwHt8Dvq92ewv9NK5hEvbnME8LhEV53rflps&v=1&r=http%3a%2f%2fi.ebayimg.com%2fimages%2fi%2f350247955061-0-1%2fs-l1000.jpg&p=DevEx,5038.1",421,281
CE309222FA1894DF5343E69F132D929B9C25BF59,http://bestxxxpics.com/wp-content/uploads/2016/04/beach-string-micro-g-string-bikini.jpg,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=gEW3D1Mk_NsbiNlCcpi7_eMd_A6ISITH6-PK8vfuqGg&v=1&r=http%3a%2f%2fbestxxxpics.com%2fwp-content%2fuploads%2f2016%2f04%2fbeach-string-micro-g-string-bikini.jpg&p=DevEx,5044.1",640,960
601F6A0B5C4AE07102EA8EA224867E2434EF2EE1,http://i.ebayimg.com/00/s/MTEwMFgxMTAw/z/JzYAAOSwPhdVGKOT/%24_12.JPG%3fset_id=880000500F,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=afHeCoHLB-hV6f5Gu6O7qAixeitYdyFYSV-nBsNS7Cg&v=1&r=http%3a%2f%2fi.ebayimg.com%2f00%2fs%2fMTEwMFgxMTAw%2fz%2fJzYAAOSwPhdVGKOT%2f%24_12.JPG%3fset_id%3d880000500F&p=DevEx,5050.1",500,500
E49B154114673AA614EE933F82A416146EE25A58,http://www.couturecandy.com/product_images/e/341/Cerulean-Push-Up-Razor-bak-String-Bikini-Ad__94774.jpg,"http://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=9iQdpLDkojPZZLWMIakKkWEIQl0xbDflp9LT5igQE-M&v=1&r=http%3a%2f%2fwww.couturecandy.com%2fproduct_images%2fe%2f341%2fCerulean-Push-Up-Razor-bak-String-Bikini-Ad__94774.jpg&p=DevEx,5056.1",1280,800
B10F5B2B04301ED6F45ECDCAC8BA3C628515CEC1,https://www.suitsyouswimwear.com/images/customers/Tish-Shelton-4a.jpg,"https://www.bing.com/cr?IG=BBCE090DC0AB40798508EA01039BD9A1&CID=10B754BC7AD560CF21355E2A7BD3617F&rd=1&h=68TmtVL0rpfB7Du-tOggBz6EJ8uVkDlf3OFQ8cqFCV4&v=1&r=https%3a%2f%2fwww.suitsyouswimwear.com%2fimages%2fcustomers%2fTish-Shelton-4a.jpg&p=DevEx,5062.1",250,250
